Ticker,Date
AAPL,01/29/2021
AAPL,10/29/2020
AAPL,07/30/2020
AAPL,04/30/2020
AAPL,01/28/2020
AAPL,10/30/2019
AAPL,07/30/2019
AAPL,04/30/2019
AAPL,01/29/2019
AAPL,11/01/2018
AAPL,07/31/2018
AAPL,05/01/2018
AAPL,02/01/2018
AAPL,11/02/2017
AAPL,08/01/2017
AAPL,05/02/2017
AAPL,01/31/2017
AAPL,10/25/2016
AAPL,07/26/2016
AAPL,04/26/2016
AAPL,01/26/2016
AAPL,10/27/2015
AAPL,07/21/2015
AAPL,04/27/2015
AAPL,01/27/2015
AMZN,01/29/2021
AMZN,10/29/2020
AMZN,07/30/2020
AMZN,04/30/2020
AMZN,01/30/2020
AMZN,10/24/2019
AMZN,07/25/2019
AMZN,04/25/2019
AMZN,01/31/2019
AMZN,10/25/2018
AMZN,07/26/2018
AMZN,04/26/2018
AMZN,02/01/2018
AMZN,10/26/2017
AMZN,07/27/2017
AMZN,04/27/2017
AMZN,02/02/2017
AMZN,10/27/2016
AMZN,07/28/2016
AMZN,04/28/2016
AMZN,01/28/2016
AMZN,10/22/2015
AMZN,07/09/2015
AMZN,04/23/2015
AMZN,01/29/2015
FB,01/29/2021
FB,10/29/2020
FB,07/29/2020
FB,04/29/2020
FB,01/29/2020
FB,10/30/2019
FB,07/24/2019
FB,04/24/2019
FB,01/30/2019
FB,10/30/2018
FB,07/25/2018
FB,04/25/2018
FB,01/31/2018
FB,11/01/2017
FB,07/26/2017
FB,05/03/2017
FB,02/01/2017
FB,11/02/2016
FB,07/27/2016
FB,01/27/2016
FB,11/04/2015
FB,07/29/2015
FB,04/22/2015
FB,01/28/2015
FB,10/28/2014
NFLX,01/21/2021
NFLX,10/20/2020
NFLX,07/16/2020
NFLX,04/21/2020 13:00 PDT
NFLX,01/21/2020 13:00 PST
NFLX,10/16/2019 13:00 PDT
NFLX,07/17/2019
NFLX,04/16/2019
NFLX,01/17/2019
NFLX,10/16/2018
NFLX,07/16/2018
NFLX,04/16/2018
NFLX,01/22/2018
NFLX,10/16/2017
NFLX,07/17/2017
NFLX,04/17/2017
NFLX,01/18/2017
NFLX,10/17/2016 14:00 PDT
NFLX,07/18/2016
NFLX,04/18/2016
NFLX,01/19/2016
NFLX,10/14/2015
NFLX,07/15/2015
NFLX,04/15/2015
NFLX,01/20/2015
GOOG,02/03/2021
GOOG,10/28/2020
GOOG,07/30/2020
GOOG,04/28/2020
GOOG,02/03/2020
GOOG,10/28/2019
GOOG,07/25/2019
GOOG,04/29/2019
GOOG,02/04/2019
GOOG,10/25/2018
GOOG,07/23/2018
GOOG,04/23/2018
GOOG,02/01/2018
GOOG,10/26/2017
GOOG,07/24/2017
GOOG,04/27/2017
GOOG,01/26/2017
GOOG,10/27/2016
GOOG,07/28/2016
GOOG,04/21/2016
GOOG,02/01/2016
GOOG,10/22/2015
GOOG,07/16/2015
GOOG,04/23/2015
GOOG,01/29/2015
GOOGL,02/03/2021
GOOGL,10/28/2020
GOOGL,07/30/2020
GOOGL,04/28/2020
GOOGL,02/03/2020
GOOGL,10/28/2019
GOOGL,07/25/2019
GOOGL,04/29/2019
GOOGL,02/04/2019
GOOGL,10/25/2018
GOOGL,07/23/2018
GOOGL,04/23/2018
GOOGL,02/01/2018
GOOGL,10/26/2017
GOOGL,07/24/2017
GOOGL,04/27/2017
GOOGL,01/26/2017
GOOGL,10/27/2016
GOOGL,07/28/2016
GOOGL,04/21/2016
GOOGL,02/01/2016
GOOGL,10/22/2015
GOOGL,07/16/2015
GOOGL,04/23/2015
GOOGL,01/29/2015
TTD,02/26/2021
TTD,11/05/2020
TTD,08/06/2020
TTD,05/07/2020
TTD,02/27/2020
TTD,11/07/2019
TTD,08/08/2019
TTD,05/09/2019
TTD,02/21/2019
TTD,11/08/2018
TTD,08/09/2018
TTD,05/10/2018
TTD,02/22/2018
TTD,11/09/2017
TTD,08/10/2017
TTD,05/11/2017
TTD,02/16/2017
TTD,11/10/2016
NVDA,11/18/2020
NVDA,08/19/2020
NVDA,05/21/2020
NVDA,02/13/2020
NVDA,11/14/2019
NVDA,08/15/2019
NVDA,05/16/2019
NVDA,02/14/2019
NVDA,11/15/2018
NVDA,08/16/2018
NVDA,05/10/2018
NVDA,02/08/2018
NVDA,11/09/2017
NVDA,08/10/2017
NVDA,05/09/2017
NVDA,02/09/2017
NVDA,11/10/2016
NVDA,08/11/2016
NVDA,05/12/2016
NVDA,02/17/2016
NVDA,11/05/2015
NVDA,08/06/2015
NVDA,05/07/2015
NVDA,02/11/2015
NVDA,11/06/2014
AMD,01/28/2021
AMD,10/27/2020
AMD,07/28/2020
AMD,04/28/2020
AMD,01/28/2020
AMD,10/29/2019
AMD,07/30/2019
AMD,04/30/2019
AMD,01/29/2019
AMD,10/24/2018
AMD,07/25/2018
AMD,04/25/2018
AMD,01/30/2018
AMD,10/24/2017
AMD,07/25/2017
AMD,05/01/2017
AMD,01/31/2017
AMD,10/20/2016
AMD,07/21/2016
AMD,04/21/2016
AMD,01/19/2016
AMD,10/15/2015
AMD,07/16/2015
AMD,04/16/2015
AMD,01/20/2015
INTC,01/22/2021
INTC,10/22/2020
INTC,07/23/2020
INTC,04/23/2020
INTC,01/23/2020
INTC,10/24/2019
INTC,07/25/2019
INTC,04/25/2019
INTC,01/24/2019
INTC,10/25/2018
INTC,07/26/2018
INTC,04/26/2018
INTC,01/25/2018
INTC,10/26/2017
INTC,07/27/2017
INTC,04/27/2017
INTC,01/26/2017
INTC,10/18/2016
INTC,07/20/2016
INTC,04/19/2016
INTC,01/14/2016
INTC,10/13/2015
INTC,07/15/2015
INTC,04/14/2015
INTC,01/15/2015
AVGO,12/10/2020
AVGO,09/03/2020
AVGO,06/04/2020
AVGO,03/12/2020
AVGO,12/12/2019
AVGO,09/12/2019
AVGO,06/13/2019
AVGO,03/14/2019
AVGO,12/06/2018
AVGO,09/06/2018
AVGO,06/07/2018
AVGO,03/15/2018
AVGO,12/06/2017
AVGO,08/24/2017
AVGO,06/01/2017
AVGO,03/01/2017
AVGO,12/08/2016
AVGO,09/01/2016
AVGO,12/02/2015
AVGO,08/26/2015
AVGO,05/28/2015
AVGO,02/25/2015
AVGO,12/03/2014
AVGO,08/28/2014
AVGO,05/29/2014
MSFT,01/29/2021
MSFT,10/27/2020
MSFT,07/22/2020
MSFT,04/29/2020
MSFT,01/29/2020
MSFT,10/23/2019
MSFT,07/18/2019
MSFT,04/24/2019
MSFT,01/30/2019
MSFT,10/24/2018
MSFT,07/19/2018
MSFT,04/27/2018
MSFT,01/31/2018
MSFT,10/26/2017
MSFT,07/20/2017
MSFT,04/27/2017
MSFT,01/26/2017
MSFT,10/20/2016
MSFT,07/19/2016
MSFT,04/21/2016
MSFT,01/28/2016
MSFT,10/22/2015
MSFT,07/21/2015
MSFT,04/23/2015
MSFT,01/26/2015
ATVI,02/05/2021
